Family,Species,ID,Sample,UK Grid
Cladonicaceae,Cladonia uncialis,RY6800,cla_unc_01,NH 88207 01580
Cladonicaceae,Cladonia uncialis,RY6817,cla_unc_02,NH 88173 01623
Cladonicaceae,Cladonia uncialis,RY6836,cla_unc_03,NH 8790 0123
Cladonicaceae,Cladonia bellidiflora,RY6801,cla_bel_01,NH 88211 01574
Cladonicaceae,Cladonia bellidiflora,RY6802,cla_bel_02,NH 88211 01574
Cladonicaceae,Cladonia bellidiflora,RY6818,cla_bel_03,NH 8817 0162
Cladonicaceae,Cladonia subcervicornis,RY6803,cla_sub_01,NH 88207 01571
Cladonicaceae,Cladonia subcervicornis,RY6806,cla_sub_02,NH 88197 01586
Cladonicaceae,Cladonia subcervicornis,RY6828,cla_sub_03,NH 88039 01470
Cladonicaceae,Cladonia cervicornis,RY6804,cla_cer_01,NH 88204 01568
Cladonicaceae,Cladonia cervicornis,RY6822,cla_cer_02,NH 88201 01577
Cladonicaceae,Cladonia cf. cripsata cetrariiformis,RY6805,cla_cri_01,NH 88197 01586
Cladonicaceae,Cladonia cf. cripsata cetrariiformis,RY6815,cla_cri_02,NH 88173 01624
Cladonicaceae,Cladonia cf. cripsata cetrariiformis,RY6831,cla_cri_03,NH 87970 01491
Cladonicaceae,Cladonia arbuscula,RY6807,cla_arb_01,NH 88197 01587
Cladonicaceae,Cladonia arbuscula,RY6812,cla_arb_02,NH 88172 01625
Cladonicaceae,Cladonia arbuscula,RY6826,cla_arb_03,NH 8804 0146
Cladonicaceae,Cladonia rangiferina,RY6808,cla_ran_01,NH 88197 01587
Cladonicaceae,Cladonia rangiferina,RY6816,cla_ran_02,NH 8817 0162
Cladonicaceae,Cladonia rangiferina,RY6827,cla_ran_03,NH 8804 0146
Cladonicaceae,Cladonia squamosa,RY6809,cla_squ_01,NH 88197 01587
Cladonicaceae,Cladonia squamosa,RY6814,cla_squ_02,NH 88173 01624
Cladonicaceae,Cladonia squamosa,RY6835,cla_squ_03,NH 87910144
Cladonicaceae,Cladonia coccifera,RY6820,cla_coc_01,NH 8817 0162
Cladonicaceae,Cladonia coccifera,RY6825,cla_coc_02,NH 88049 01468
Cladonicaceae,Cladonia borealis,RY6811,cla_bor_01,NH 88197 01587
Cladonicaceae,Cladonia borealis,RY6819,cla_bor_02,NH 8817 0162
Cladonicaceae,Cladonia borealis,RY6824,cla_bor_03,NH 88163 01548
Parmelicaceae,"Arctoparmelia	incurva",NC0069,arc_inc_01,NH 88187 01622
Parmelicaceae,"Arctoparmelia	incurva",NC0070,arc_inc_02,NH 87918 01476
Parmelicaceae,Arctoparmelia incurva,RY6832,arc_inc_03,NH 8793 0144
Parmelicaceae,"Allantoparmelia	alpicola",NC0071,all_alp_01,NH 88208 01571
Parmelicaceae,"Allantoparmelia	alpicola",NC0072,all_alp_02,NH 88171 01621
Parmelicaceae,"Allantoparmelia	alpicola",NC0073,all_alp_03,NH 88178 01639
Parmelicaceae,"Alectoria	nigricans",NC0074,ale_nig_01,NH 88208 01581
Parmelicaceae,"Alectoria	nigricans",NC0075,ale_nig_02,NH 88168 01643
Parmelicaceae,"Alectoria	nigricans",NC0076,ale_nig_03,NH 88193 01487
Parmelicaceae,Alectoria sarmentosa,NC0077,ale_sar_01,NH 88207 01581
Parmelicaceae,Alectoria sarmentosa,NC0078,ale_sar_02,NH 88207 01581
Parmelicaceae,Alectoria sarmentosa,NC0079,ale_sar_03,NH 88207 01581
Parmelicaceae,Cetraria islandica,NC0080,cet_isl_01,NH 88186 01577
Parmelicaceae,Cetraria islandica,NC0081,cet_isl_02,NH 88171 01621
Parmelicaceae,Cetraria islandica,RY6830,cet_isl_03,NH 8803 0147
Parmelicaceae,Cetraria muricata,NC0082,cet_mur_01,NH 88214 01570
Parmelicaceae,Cetraria muricata,NC0083,cet_mur_02,NH 88168 01643
Parmelicaceae,Cetraria muricata,NC0084,cet_mur_03,NH 88049 01468
Parmelicaceae,"Cornicularia	normoerica",NC0085,cor_nor_01,NH 88202 01577
Parmelicaceae,"Cornicularia	normoerica",NC0086,cor_nor_02,NH 88197 01587
Parmelicaceae,"Cornicularia	normoerica",NC0087,cor_nor_03,NH 88178 01639
Parmelicaceae,"Flavocetraria	nivalis",NC0088,fla_niv_01,NH 88216 01576
Parmelicaceae,"Flavocetraria	nivalis",NC0089,fla_niv_02,NH 88197 01575
Parmelicaceae,Flavocetraria nivalis,NC0090,fla_niv_03,NH 88168 01622
Parmelicaceae,"Hypogymnia	physodes",NC0103,hyp_phy_01,NH 88171 01621
Parmelicaceae,"Hypogymnia	physodes",NC0104,hyp_phy_02,NH 87970 01491
Parmelicaceae,"Hypogymnia	physodes",NC0105,hyp_phy_03,NH 87905 01436
Parmelicaceae,"Melanelia	stygia",NC0091,mel_sty_01,NH 88051 01469
Parmelicaceae,"Melanelia	stygia",NC0093,mel_sty_02,NH 87962 01327
Parmelicaceae,"Parmelia	omphalodes",NC0094,par_omp_01,NH 88178 01614
Parmelicaceae,"Parmelia	omphalodes",NC0095,par_omp_02,NH 88178 01639
Parmelicaceae,"Parmelia	omphalodes",NC0096,par_omp_03,NH 88040 01468
Parmelicaceae,"Platismatia	glauca",NC0097,pla_gla_01,NH 88171 01621
Parmelicaceae,"Platismatia	glauca",NC0098,pla_gla_02,NH 87970 01491
Parmelicaceae,"Platismatia	glauca",NC0099,pla_gla_03,NH 87918 01476
Parmelicaceae,"Pseudephebe	pubescens",NC0100,pse_pub_01,NH 88215 01573
Parmelicaceae,"Pseudephebe	pubescens",NC0101,pse_pub_02,NH 88169 01622
Parmelicaceae,"Pseudephebe	pubescens",NC0102,pse_pub_03,NH 88040 01468
